,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
1076,,,,,,,shifting,no,Task Switching Task,Participants were instructed to respond to the color of a stimuli under different cue conditions.,RT in milliseconds on task alteration trials for color stimuli,no,1.968409849,2362.303012,48.6035288
1077,"Emery, 2008","Emery, L., Hale, S., & Myerson, J. (2008). Age differences in proactive interference, working memory, and abstract reasoning. Psychology and aging, 23(3), 634.",71,71,22,69.9,updating,yes,Operation Span Task,"Participants were told to remember a word, after solving a math equation, that they later needed to recall in order.",Number of correctly recalled words,no,1.086727064,0.052408269,0.228928525
1078,"Bailey, 2008","Bailey, P. E., & Henry, J. D. (2008). Growing less empathic with age: Disinhibition of the self-perspective. The Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 63(4), P219-P226.",36,33,19.5,72.2,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,Number of correct responses (Number of items completed on list 1 minues number of items completed on list 2),no,1.667927231,1.18630987,1.08917853
1079,,,,,,,inhibition,no,Hayling Task,"Participants were presented with sentences with the last word missing. In Part A, participants completed the sentence with an expected word, whereas in Part B participants were instructed to complete the sentence with a grammatically correct word that did not fit the sentence meaning.",Number of correct responses,no,1.36488403,0.065148274,0.2552416
1080,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud.,Largest string of digits correctly recalled,no,1.051498562,0.087102282,0.295130957
1081,,,,,,,updating,no,Digit Span,Participants were given a sequence of digits to remember and immediately repeat out loud in reverse order.,Largest string of digits correctly recalled,no,0.367427248,0.081921777,0.286219805
1082,,,,,,,updating,no,Verbal Fluency,"Participants produced as many words as possible starting with a given letter in one minute, but must alternate between two letters.",Number of correct response,no,0.828010678,0.736060729,0.857939817
1083,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.048346892,0.603581482,0.776905066
1084,,,,,,,inhibition,no,Inhibition Task,Participants are shown scenarios and must use provided informtion to predict final outcomes.,"Number of correct responses on high inhibition, false belief trials",no,0.840626657,0.130528683,0.361287535
1085,"Hogge, 2008","Hogge, M., Adam, S., & Collette, F. (2008). Directed forgetting and aging: The role of retrieval processes, processing speed, and proactive interference. Aging, Neuropsychology, and Cognition, 15(4), 471-491.",33,27,23.6,66.04,inhibition,no,Directed Forgetting Task,Participants were shown word stems to either remember or forget and asked to recall words at a later test.,Percent correct of to be remembered items on exclusion trials,no,-0.774276689,0.065686763,0.256294289
1086,,,,,,,processing speed,no,Choice RT,Participants were instructed to indicate the location of a stimulus as quickly as possible.,RT in milliseconds,no,2.187543276,139.0585968,11.79231092
1087,,,,,,,updating,no,Word Span Task,Participants were given a sequence of words to remember and immediately repeat out loud.,Largest string of words correctly recalled,no,0.62743111,0.070040195,0.264651081
1088,"Ashendorf, 2008","Ashendorf, L., & McCaffrey, R. J. (2008). Exploring age-related decline on the Wisconsin Card Sorting Test. The Clinical Neuropsychologist, 22(2), 262-272.",24,14,19.79,77.44,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of categories achieved,no,1.965005481,0.136763261,0.369815172
1089,,,,,,,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.402630344,3.568298724,1.888994104
1090,,,,,,,shifting,no,Trail Making Test,"Participants complete Trail B, which includes circles with numbers and letters, and participants are instructed to alternate between numbers and letters in ascending order.",RT in seconds,no,2.771525063,16.82952884,4.102380875
1091,"Joanisse, 2008","Joanisse, M., Gagnon, S., Kreller, J., & Charbonneau, M. C. (2008). Age-related differences in viewer-rotation tasks: is mental manipulation the key factor?. The Journals of Gerontology Series B: Psychological Sciences and Social Sciences, 63(3), P193-P200.",24,24,23,72.1,updating,no,Pointing Task,Participants were instructed to point to objects arround in a circle around them under various conditions while blindfolded.,Degree of error in the updating condition,no,0.51351485,1.992087804,1.411413406
1092,"Rowe, 2008","Rowe, G., Hasher, L., & Turcotte, J. (2008). Age differences in visuospatial working memory. Psychology and aging, 23(1), 79.",36,36,19.72,66.56,updating,no,Corsi Blocks Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the same order.,Percent correct on ascending trials,no,2.349462366,1.794118781,1.339447192
1093,"Andrés, 2008","Andrés, P., Guerrini, C., Phillips, L. H., & Perfect, T. J. (2008). Differential effects of aging on executive and automatic inhibition. Developmental neuropsychology, 33(2), 101-123.",30,30,20,73.8,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.927363043,0.737238434,0.858625899
1094,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in seconds on interference trials,no,1.63188863,5.135434959,2.26614981
1095,,,,,,,inhibition,yes,Stop-Signal Task,"Participants were shown two overlapping letters, one red and one gree, and were told to indicate whether the red letter was a vowel or a consonant, but if they heard a tone, they were told not to make a response.",RT in milliseconds,no,1.351366795,140.3814471,11.84826768
1096,"Fernandez-Duque, 2008","Fernandez-Duque, D., & Black, S. E. (2008). Selective attention in early dementia of Alzheimer type. Brain and Cognition, 66(3), 221-231.",13,12,19.7,72.9,inhibition,no,RT Task,Participants were told to indicate the direction of an arrow of a specific color.,RT in milliseconds on incongruent trials,no,2.249264421,87.54924111,9.356775145
1097,"Rossit, 2008","Rossit, S., & Harvey, M. (2008). Age-related differences in corrected and inhibited pointing movements. Experimental Brain Research, 185(1), 1-10.",8,8,20.88,72.88,inhibition,no,Stop-Signal Task,"Participants were instructed to follow a target on a screen as quickly as possible unless they they were on a stop trial, for which they had to place their indicator on the center target.",RT in milliseconds for no-go trials,no,1.190296251,190.477386,13.8013545
1098,"Li, 2008","Li, K. Z., & Dupuis, K. (2008). Attentional switching in the sequential flanker task: Age, location, and time course effects. Acta Psychologica, 127(2), 416-427.",20,20,23.2,72.1,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.542011207,1.703069383,1.305017005
1099,,,,,,,inhibition,no,Flanker Task,Participants decided whether a central word was an exemplar for a category they are to monitor for.,RT in milliseconds on flanker trials,no,7.367085986,3.578457085,1.891681021
1100,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.39018125,1.200104031,1.095492597
1101,,,,,,,inhibition,no,Flanker Task,Participants decided whether a central word was an exemplar for a category they are to monitor for.,RT in milliseconds on flanker trials,no,6.81192053,4.899364063,2.213450714
1102,"Zeintl, 2007","Zeintl, M., & Kliegel, M. (2007). How do verbal distractors influence age-related operation span performance? A manipulation of inhibitory control demands. Experimental aging research, 33(2), 163-175.",49,46,27,68,updating,yes,Operation Span Task,Participants solved math problems and following each problem they were shown a word they must remember for later recall.,Percent correct,no,1.04524004,0.041587807,0.203930888
1103,"Chen, 2007","Chen, T., & Li, D. (2007). The roles of working memory updating and processing speed in mediating age-related differences in fluid intelligence. Aging, Neuropsychology, and Cognition, 14(6), 631-646.",54,47,28.1,69.8,updating,no,Paper Folding Task,Participants determined which of five patterns of holes would result from the displayed sequence of folds and hole punch.,Number of correct responses,no,1.623935558,0.06279075,0.250580825
1104,,,,,,,updating,no,Processing Speed Task,Participants selected which of four three dimensional objects corresponded to an unfolded two-dimensional drawings.,Number of correct responses,no,1.6547191,0.098187484,0.313348821
1105,,,,,,,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,2.257985409,0.613780409,0.783441388
1106,,,,,,,processing speed,no,Processing Speed Task,Participants were to respond to single digit by pressing the key on the numeric keypad,RT in milliseconds,no,2.042197971,173.368614,13.16695159
1107,,,,,,,processing speed,no,Pattern Comparison Task,Determine whether patterns of stimuli were the same or different.,Number of correct responses,no,1.560299147,368.131099,19.18674279
1108,,,,,,,processing speed,no,Processing Speed Task,Participants were to determine whether two characters were the same or different,RT in milliseconds,no,2.554281246,373.1407607,19.31685173
